Country,Currency,Continent,Security Thread Embeded,Security Thread Windowed,Watermark,Metallic Element,OVI Ink,OVMI Ink (SPARK),Blind code,Rainbow printing,Rectoverso,Intaglio print,Latent image,Hologram Patch,Hologram Stripe,Kinegram,Holographic Patch,Iridescent ink,Iridescent planchetes,Fibres Visible,Motion,Polymer Substrate,Complex Clear Window (polymer),Embossed Paper,Polymer paper,Moire Variable Color (Stripe & image),Gold Foil / Metal Foil,Diffractive Optical Element (WinDOE),Invisible Ink Fluorescent,Fibres Invisible,IR Ink,Microtext,Microtag,Metalic ink,Relief & line width,Raster effect,CDS/BDS,Anty copying,Endless Pattern,Microperforation,Magnetic Thread,Intaglio Contrast Effect (ICE) Feature
South Africa,Rand,Africa,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Uganda,Shilling,Africa,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,ZWL,Africa,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Rupiah,Asia,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Australia,AUD,Australia,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bangladesh,Taka,Asia,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brunei,BND,Asia,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
China,Renminbi,Asia,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hong Kong,HKD,Asia,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Indian Rupee,Asia,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Japan,Yen,Asia,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Korea,Won,Asia,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
Kuwait,Kuwaiti Dinar,Asia,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Ringgit,Asia,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
United Arab Emirates,Dirham,Asia,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
